percentAll,count,totalCount,percentReactive,cytCombo,id,group,stim,concGroup,cell
0,0,700,0,TNFa+IL6+IL12+IFNa+,a2004,adult,LPS,3,mDC
0.43,3,700,0.940625,TNFa+IL6+IL12+IFNa-,a2004,adult,LPS,3,mDC
0,0,700,0,TNFa+IL6+IL12-IFNa+,a2004,adult,LPS,3,mDC
21.86,153,700,47.81875,TNFa+IL6+IL12-IFNa-,a2004,adult,LPS,3,mDC
0,0,700,0,TNFa+IL6-IL12+IFNa+,a2004,adult,LPS,3,mDC
0.29,2,700,0.634375,TNFa+IL6-IL12+IFNa-,a2004,adult,LPS,3,mDC
0,0,700,0,TNFa+IL6-IL12-IFNa+,a2004,adult,LPS,3,mDC
19.71,138,700,43.115625,TNFa+IL6-IL12-IFNa-,a2004,adult,LPS,3,mDC
0,0,700,0,TNFa-IL6+IL12+IFNa+,a2004,adult,LPS,3,mDC
0,0,700,0,TNFa-IL6+IL12+IFNa-,a2004,adult,LPS,3,mDC
0,0,700,0,TNFa-IL6+IL12-IFNa+,a2004,adult,LPS,3,mDC
2,14,700,4.375,TNFa-IL6+IL12-IFNa-,a2004,adult,LPS,3,mDC
0.14,1,700,0.30625,TNFa-IL6-IL12+IFNa+,a2004,adult,LPS,3,mDC
0.29,2,700,0.634375,TNFa-IL6-IL12+IFNa-,a2004,adult,LPS,3,mDC
1,7,700,2.1875,TNFa-IL6-IL12-IFNa+,a2004,adult,LPS,3,mDC
54.28,380,700,NA,TNFa-IL6-IL12-IFNa-,a2004,adult,LPS,3,mDC
0,0,2181,0,TNFa+IL6+IL12+IFNa+,a2005,adult,LPS,3,mDC
0.32,7,2181,1.977110482,TNFa+IL6+IL12+IFNa-,a2005,adult,LPS,3,mDC
0,0,2181,0,TNFa+IL6+IL12-IFNa+,a2005,adult,LPS,3,mDC
2.75,60,2181,16.9907932,TNFa+IL6+IL12-IFNa-,a2005,adult,LPS,3,mDC
0,0,2181,0,TNFa+IL6-IL12+IFNa+,a2005,adult,LPS,3,mDC
0.5,11,2181,3.089235127,TNFa+IL6-IL12+IFNa-,a2005,adult,LPS,3,mDC
0,0,2181,0,TNFa+IL6-IL12-IFNa+,a2005,adult,LPS,3,mDC
9.45,206,2181,58.38654391,TNFa+IL6-IL12-IFNa-,a2005,adult,LPS,3,mDC
0,0,2181,0,TNFa-IL6+IL12+IFNa+,a2005,adult,LPS,3,mDC
0.23,5,2181,1.421048159,TNFa-IL6+IL12+IFNa-,a2005,adult,LPS,3,mDC
0,0,2181,0,TNFa-IL6+IL12-IFNa+,a2005,adult,LPS,3,mDC
1.1,24,2181,6.79631728,TNFa-IL6+IL12-IFNa-,a2005,adult,LPS,3,mDC
0.32,7,2181,1.977110482,TNFa-IL6-IL12+IFNa+,a2005,adult,LPS,3,mDC
1.05,23,2181,6.487393768,TNFa-IL6-IL12+IFNa-,a2005,adult,LPS,3,mDC
0.46,10,2181,2.842096317,TNFa-IL6-IL12-IFNa+,a2005,adult,LPS,3,mDC
83.82,1828,2181,NA,TNFa-IL6-IL12-IFNa-,a2005,adult,LPS,3,mDC
0,0,458,0,TNFa+IL6+IL12+IFNa+,a2006,adult,LPS,3,mDC
0.44,2,458,2.370823529,TNFa+IL6+IL12+IFNa-,a2006,adult,LPS,3,mDC
